brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,rating,Number of Ratings,Number of Reviews,Price
Apple,Apple,i7,12,16.0,DDR3,1024.0,0.0,Windows,32,0,1,0,500,130926
Acer,Apple,M1,10,8.0,DDR3,0.0,1000.0,Windows,64,0,2,50,100,89246
MSI,AMD,Ryzen 3,11,16.0,DDR4,256.0,0.0,Windows,64,6,4,100,500,167363
Apple,AMD,Ryzen 3,10,8.0,DDR3,128.0,1000.0,Linux,32,6,4,5000,50,143284
Lenovo,Intel,i7,9,32.0,DDR5,512.0,500.0,Windows,64,2,2,500,10,181685
MSI,AMD,Ryzen 5,11,8.0,DDR3,512.0,0.0,Windows,32,8,2,5000,0,160936
MSI,Intel,M1,11,32.0,DDR4,256.0,2000.0,Windows,64,6,3,500,10,223798
Apple,Intel,Ryzen 7,13,16.0,DDR5,128.0,0.0,MacOS,32,2,1,100,100,139749
HP,Intel,M2,9,16.0,DDR5,0.0,,MacOS,32,4,2,50,20,139965
Lenovo,Apple,Ryzen 3,9,8.0,DDR3,512.0,500.0,Linux,32,0,1,1000,50,92872
Apple,AMD,i7,8,16.0,DDR3,256.0,1000.0,Linux,64,8,4,100,0,175825
Lenovo,Intel,M1,12,8.0,DDR5,512.0,1000.0,Linux,32,4,1,1000,0,137453
,AMD,i3,11,16.0,DDR3,128.0,2000.0,Windows,32,8,5,100,100,193857
MSI,Intel,Ryzen 5,11,4.0,DDR4,0.0,0.0,MacOS,32,8,3,0,0,144890
Acer,AMD,i5,9,8.0,DDR5,128.0,500.0,MacOS,32,6,3,5000,100,136860
Lenovo,AMD,i7,9,32.0,DDR3,1024.0,1000.0,Linux,32,2,1,50,0,191098
Asus,Intel,M1,12,4.0,DDR5,128.0,2000.0,MacOS,64,8,3,5000,0,160159
MSI,Apple,i7,9,32.0,DDR3,128.0,1000.0,Linux,64,4,1,50,500,191011
HP,AMD,M2,10,16.0,DDR3,512.0,2000.0,Windows,64,8,1,100,500,191504
Acer,Apple,Ryzen 7,10,4.0,DDR4,128.0,1000.0,MacOS,32,2,4,50,100,98930
Asus,Apple,Ryzen 5,13,16.0,DDR3,256.0,2000.0,Windows,32,0,1,1000,50,133586
Asus,Intel,,10,8.0,DDR3,512.0,1000.0,Windows,32,8,3,50,0,163254
HP,Intel,Ryzen 3,10,32.0,DDR3,512.0,1000.0,MacOS,64,4,5,50,10,205358
Acer,Intel,Ryzen 3,12,16.0,DDR4,1024.0,0.0,Linux,64,0,2,5000,20,131704
MSI,AMD,M2,11,32.0,DDR3,256.0,2000.0,MacOS,32,0,3,50,500,178441
Dell,Intel,i5,10,32.0,DDR3,128.0,2000.0,Windows,64,6,5,500,100,221019
Acer,Intel,M1,13,16.0,DDR3,1024.0,0.0,Linux,64,6,3,100,0,187876
HP,AMD,Ryzen 5,9,8.0,DDR5,256.0,0.0,Windows,32,8,5,0,500,154645
Asus,AMD,Ryzen 5,10,32.0,DDR4,1024.0,1000.0,Linux,64,4,3,0,50,212212
MSI,Intel,Ryzen 3,13,16.0,DDR5,0.0,1000.0,MacOS,32,6,2,500,500,173591
Acer,Intel,Ryzen 3,12,8.0,DDR4,128.0,1000.0,Windows,64,2,4,5000,10,117612
Dell,Intel,Ryzen 7,9,16.0,DDR4,1024.0,0.0,Linux,64,2,4,500,100,138523
Dell,Intel,M2,13,8.0,DDR5,0.0,1000.0,Linux,64,0,2,0,10,104792
Lenovo,Apple,i3,10,32.0,DDR4,128.0,0.0,MacOS,32,0,3,1000,500,159328
Lenovo,Apple,,11,4.0,DDR4,1024.0,1000.0,Linux,64,0,5,0,20,101742
Apple,Intel,i7,9,16.0,DDR5,1024.0,0.0,Linux,32,2,1,0,50,135664
HP,Apple,i7,9,32.0,DDR3,1024.0,2000.0,Windows,64,6,3,100,100,226764
Acer,AMD,Ryzen 5,11,16.0,DDR4,1024.0,500.0,MacOS,32,6,2,0,100,180029
Acer,Apple,Ryzen 5,9,16.0,DDR5,,1000.0,MacOS,32,8,4,0,0,184426
Apple,Apple,i5,10,8.0,DDR4,1024.0,1000.0,Windows,32,4,4,50,10,140239
Asus,Intel,i5,9,16.0,DDR5,512.0,0.0,Windows,64,2,3,500,100,129326
Asus,Apple,i3,10,8.0,DDR3,512.0,2000.0,Windows,32,0,5,0,10,106163
Apple,Apple,M2,11,32.0,DDR4,0.0,2000.0,Linux,64,4,2,0,20,204736
Asus,Apple,i7,8,16.0,DDR3,128.0,1000.0,MacOS,32,0,2,1000,0,107982
,Apple,i3,11,32.0,DDR3,512.0,0.0,MacOS,32,4,5,0,20,204802
Acer,AMD,M2,10,4.0,DDR5,256.0,0.0,MacOS,32,4,5,100,0,111704
Apple,Intel,i3,12,32.0,DDR4,512.0,500.0,Linux,32,6,3,5000,0,224764
Acer,Intel,i7,11,16.0,DDR4,256.0,2000.0,MacOS,64,8,3,1000,10,191056
Dell,AMD,M1,12,4.0,DDR4,0.0,500.0,MacOS,64,8,4,0,500,151817
Lenovo,Apple,i5,12,8.0,DDR4,256.0,2000.0,MacOS,32,0,4,5000,0,108582
MSI,AMD,Ryzen 7,10,4.0,DDR4,0.0,1000.0,MacOS,64,2,5,100,20,96417
Lenovo,Apple,Ryzen 7,10,16.0,DDR5,0.0,1000.0,Windows,64,8,1,500,500,179838
Apple,AMD,Ryzen 7,8,16.0,DDR4,0.0,0.0,Linux,32,2,1,0,20,118274
MSI,Intel,i7,13,,DDR3,256.0,0.0,MacOS,64,0,1,500,500,171495
Dell,Intel,Ryzen 3,9,8.0,DDR3,256.0,0.0,MacOS,64,2,2,0,20,100703
Apple,Intel,Ryzen 3,11,16.0,DDR4,0.0,2000.0,MacOS,32,4,3,1000,10,158982
HP,Apple,Ryzen 3,10,16.0,DDR5,0.0,0.0,MacOS,64,4,5,1000,10,145855
,Apple,Ryzen 5,11,8.0,DDR5,128.0,1000.0,MacOS,32,0,4,5000,50,98462
Dell,AMD,i5,13,8.0,DDR4,0.0,500.0,Windows,64,2,1,100,100,117184
Acer,AMD,i5,13,32.0,DDR3,1024.0,1000.0,Windows,32,2,4,50,50,206655
Asus,Intel,M1,12,4.0,DDR4,128.0,1000.0,Linux,64,0,3,5000,50,88369
HP,Apple,M1,9,8.0,DDR4,128.0,1000.0,Linux,64,8,5,5000,0,157829
HP,AMD,Ryzen 5,8,16.0,DDR4,128.0,500.0,MacOS,64,6,1,100,0,152671
,Apple,i3,11,8.0,DDR5,1024.0,1000.0,MacOS,64,8,1,0,50,173510
HP,Apple,M2,9,16.0,DDR5,128.0,2000.0,Windows,64,6,5,500,100,168035
MSI,Intel,M1,8,32.0,DDR3,128.0,2000.0,Linux,32,2,4,500,50,180757
HP,Intel,Ryzen 7,11,4.0,DDR3,256.0,500.0,MacOS,64,6,3,0,10,134768
Acer,Apple,Ryzen 3,9,32.0,DDR4,256.0,2000.0,MacOS,32,6,3,50,20,216562
Acer,Apple,Ryzen 7,10,8.0,DDR3,0.0,0.0,MacOS,32,2,3,50,50,103948
Apple,Apple,Ryzen 3,11,16.0,DDR4,0.0,2000.0,Linux,64,4,4,50,0,158193
Acer,Apple,Ryzen 7,9,8.0,DDR3,512.0,1000.0,Windows,32,6,4,0,100,146018
Apple,Intel,i3,13,8.0,DDR4,1024.0,2000.0,Windows,64,0,1,1000,0,122526
Acer,AMD,M2,8,8.0,DDR5,256.0,0.0,MacOS,64,8,4,5000,10,147366
MSI,Intel,Ryzen 7,9,8.0,DDR4,0.0,0.0,MacOS,64,2,2,1000,500,96263
Apple,AMD,Ryzen 7,10,4.0,DDR5,1024.0,0.0,MacOS,64,2,5,0,0,107659
Lenovo,Apple,i7,11,16.0,DDR5,128.0,1000.0,MacOS,32,6,4,1000,500,172706
Asus,AMD,M2,11,8.0,DDR3,1024.0,0.0,MacOS,64,4,3,50,0,139490
Dell,Intel,Ryzen 7,11,,DDR3,256.0,1000.0,Linux,64,4,4,1000,100,158258
Acer,Intel,i7,10,4.0,DDR5,512.0,0.0,Windows,64,8,1,0,500,145716
HP,Apple,i5,8,16.0,DDR4,256.0,1000.0,Linux,32,8,5,5000,100,178552
Acer,Intel,M2,11,16.0,DDR4,0.0,1000.0,Linux,32,4,5,1000,0,154233
,Apple,Ryzen 5,8,4.0,DDR3,0.0,1000.0,MacOS,32,4,3,1000,0,105186
Asus,Intel,M2,9,8.0,DDR4,1024.0,2000.0,Linux,32,4,5,1000,50,141146
Asus,Intel,M2,13,16.0,DDR4,256.0,0.0,Windows,64,6,2,1000,10,172732
Asus,Apple,Ryzen 7,13,32.0,DDR4,0.0,1000.0,MacOS,32,0,5,5000,500,179969
HP,AMD,i5,8,16.0,DDR5,128.0,0.0,Windows,32,8,3,0,50,169329
Acer,Intel,M2,8,8.0,DDR5,128.0,2000.0,Linux,32,2,5,100,100,109966
Asus,AMD,M1,13,32.0,DDR4,512.0,500.0,MacOS,32,4,4,1000,50,212415
MSI,Intel,M1,11,8.0,DDR3,1024.0,0.0,Windows,64,4,1,100,50,135825
Apple,Intel,i7,12,16.0,DDR4,0.0,0.0,Windows,64,0,4,5000,500,119601
HP,Intel,Ryzen 7,12,4.0,DDR3,512.0,2000.0,MacOS,32,4,2,0,0,133014
HP,Intel,Ryzen 7,10,8.0,DDR5,128.0,1000.0,Windows,32,8,2,500,0,155994
Acer,AMD,M2,13,8.0,DDR4,512.0,0.0,MacOS,64,4,1,100,500,135030
HP,AMD,i3,13,4.0,DDR4,512.0,,MacOS,64,0,1,0,10,93596
HP,Intel,i5,10,16.0,DDR3,0.0,2000.0,Linux,64,6,1,500,20,167890
Asus,Intel,Ryzen 3,12,8.0,DDR3,0.0,1000.0,Windows,64,8,1,1000,20,160743
