brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,Price,rating,Number of Ratings,Number of Reviews
1,1,1,0,4,1,0,1024,2,1,0,34649,2,3,0
5,1,1,0,4,1,0,1024,2,1,0,38999,3,65,5
5,1,1,0,4,1,0,1024,2,1,0,39999,3,8,1
1,1,3,0,8,1,512,0,2,0,2,69990,3,0,0
1,1,0,7,4,1,0,512,2,1,0,26990,3,0,0
1,1,0,7,4,1,0,512,2,1,0,22990,3,0,0
1,1,0,7,4,1,0,512,2,0,0,21990,3,31,3
1,1,3,0,8,1,0,1024,2,0,2,58799,3,0,0
5,1,3,0,4,1,0,1024,2,0,0,49999,3,0,0
7,0,9,0,4,1,0,512,2,0,4,59990,4,1946,240
7,0,9,0,4,1,0,512,2,0,6,93700,4,259,47
7,0,9,0,4,1,0,512,2,0,4,72990,4,425,67
2,1,0,7,4,1,0,512,2,1,0,17490,3,1120,196
1,1,0,7,4,1,0,512,2,1,0,22990,3,0,0
1,1,1,1,4,1,256,0,2,1,0,35990,3,0,0
4,1,1,1,8,1,256,0,2,1,0,56490,3,0,0
4,1,3,1,8,1,256,0,2,1,0,65390,3,0,0
5,1,0,7,4,1,256,0,2,1,0,31999,4,286,19
4,1,0,7,8,1,256,0,2,1,0,32490,4,58,6
5,1,0,7,4,1,256,0,2,1,0,31799,3,0,0
1,1,0,7,4,1,256,0,2,1,0,29890,4,7,0
1,1,0,7,4,1,0,1024,2,1,0,23990,3,15279,1947
4,1,1,4,4,1,0,1024,2,1,0,32955,4,311,27
4,1,3,4,4,1,0,1024,2,0,2,46200,4,47,7
1,1,1,1,4,1,256,0,2,1,0,34429,4,37,6
5,1,1,0,8,1,256,0,2,0,0,37990,4,2080,235
1,1,1,1,4,1,256,0,2,0,0,35990,4,1479,181
1,1,1,0,8,1,256,0,2,1,0,33980,4,67,3
4,1,1,1,8,1,256,0,2,1,0,39990,4,273,30
3,1,1,0,8,1,256,0,2,1,0,39490,4,1267,171
4,1,1,1,8,1,256,0,2,1,0,53990,4,14,0
7,1,1,1,8,1,256,0,2,1,0,38990,3,0,0
1,1,1,1,8,1,256,0,2,1,0,37990,4,284,39
1,1,1,1,8,1,256,0,2,1,0,37890,4,44,5
5,1,1,1,8,1,256,0,2,1,0,38990,4,33,4
5,1,1,0,8,1,256,0,2,1,0,37990,4,286,36
3,1,1,1,8,1,256,0,2,1,0,41990,3,10,5
1,1,1,1,8,1,256,0,2,1,0,45990,4,816,147
5,1,1,1,8,1,256,0,2,1,0,39990,4,543,65
3,1,1,1,8,1,256,0,2,1,0,42490,4,9,1
3,1,1,0,4,1,256,0,2,1,0,36990,4,1178,137
5,1,1,1,8,1,256,0,2,1,0,53990,4,299,41
1,1,1,1,8,1,256,0,2,1,0,36990,4,20,1
5,1,1,0,4,1,256,0,2,1,0,38940,4,758,64
3,1,1,0,4,1,256,0,2,1,0,39490,4,634,64
1,1,1,1,8,1,256,0,2,1,0,45990,4,816,147
5,1,1,0,8,1,256,0,2,1,0,39999,5,4,0
3,1,1,1,8,1,256,0,2,1,0,42990,4,17,2
3,1,1,1,8,1,256,0,2,1,0,49990,4,24,5
