brand,processor_brand,processor_name,proc_gn,ram,ram_type,ssd,hdd,graphic_card_gb,Price
1,1,7,12,16,0,1024,0,0,130926
0,1,0,10,8,0,0,1000,0,89246
6,0,2,11,16,1,256,0,6,167363
1,0,2,10,8,0,128,1000,6,143284
5,2,7,9,32,2,512,500,2,181685
6,0,3,11,8,0,512,0,8,160936
6,2,0,11,32,1,256,2000,6,223798
1,2,4,13,16,2,128,0,2,139749
4,2,1,9,16,2,0,0,4,139965
5,1,2,9,8,0,512,500,0,92872
1,0,7,8,16,0,256,1000,8,175825
5,2,0,12,8,2,512,1000,4,137453
0,0,5,11,16,0,128,2000,8,193857
6,2,3,11,4,1,0,0,8,144890
0,0,6,9,8,2,128,500,6,136860
5,0,7,9,32,0,1024,1000,2,191098
2,2,0,12,4,2,128,2000,8,160159
6,1,7,9,32,0,128,1000,4,191011
4,0,1,10,16,0,512,2000,8,191504
0,1,4,10,4,1,128,1000,2,98930
2,1,3,13,16,0,256,2000,0,133586
2,2,5,10,8,0,512,1000,8,163254
4,2,2,10,32,0,512,1000,4,205358
0,2,2,12,16,1,1024,0,0,131704
6,0,1,11,32,0,256,2000,0,178441
3,2,6,10,32,0,128,2000,6,221019
0,2,0,13,16,0,1024,0,6,187876
4,0,3,9,8,2,256,0,8,154645
2,0,3,10,32,1,1024,1000,4,212212
6,2,2,13,16,2,0,1000,6,173591
0,2,2,12,8,1,128,1000,2,117612
3,2,4,9,16,1,1024,0,2,138523
3,2,1,13,8,2,0,1000,0,104792
5,1,5,10,32,1,128,0,0,159328
5,1,5,11,4,1,1024,1000,0,101742
1,2,7,9,16,2,1024,0,2,135664
4,1,7,9,32,0,1024,2000,6,226764
0,0,3,11,16,1,1024,500,6,180029
0,1,3,9,16,2,512,1000,8,184426
1,1,6,10,8,1,1024,1000,4,140239
2,2,6,9,16,2,512,0,2,129326
2,1,5,10,8,0,512,2000,0,106163
1,1,1,11,32,1,0,2000,4,204736
2,1,7,8,16,0,128,1000,0,107982
0,1,5,11,32,0,512,0,4,204802
0,0,1,10,4,2,256,0,4,111704
1,2,5,12,32,1,512,500,6,224764
0,2,7,11,16,1,256,2000,8,191056
3,0,0,12,4,1,0,500,8,151817
5,1,6,12,8,1,256,2000,0,108582
6,0,4,10,4,1,0,1000,2,96417
5,1,4,10,16,2,0,1000,8,179838
1,0,4,8,16,1,0,0,2,118274
6,2,7,13,8,0,256,0,0,171495
3,2,2,9,8,0,256,0,2,100703
1,2,2,11,16,1,0,2000,4,158982
4,1,2,10,16,2,0,0,4,145855
0,1,3,11,8,2,128,1000,0,98462
3,0,6,13,8,1,0,500,2,117184
0,0,6,13,32,0,1024,1000,2,206655
2,2,0,12,4,1,128,1000,0,88369
4,1,0,9,8,1,128,1000,8,157829
4,0,3,8,16,1,128,500,6,152671
0,1,5,11,8,2,1024,1000,8,173510
4,1,1,9,16,2,128,2000,6,168035
6,2,0,8,32,0,128,2000,2,180757
4,2,4,11,4,0,256,500,6,134768
0,1,2,9,32,1,256,2000,6,216562
0,1,4,10,8,0,0,0,2,103948
1,1,2,11,16,1,0,2000,4,158193
0,1,4,9,8,0,512,1000,6,146018
1,2,5,13,8,1,1024,2000,0,122526
0,0,1,8,8,2,256,0,8,147366
6,2,4,9,8,1,0,0,2,96263
1,0,4,10,4,2,1024,0,2,107659
5,1,7,11,16,2,128,1000,6,172706
2,0,1,11,8,0,1024,0,4,139490
3,2,4,11,8,0,256,1000,4,158258
0,2,7,10,4,2,512,0,8,145716
4,1,6,8,16,1,256,1000,8,178552
0,2,1,11,16,1,0,1000,4,154233
0,1,3,8,4,0,0,1000,4,105186
2,2,1,9,8,1,1024,2000,4,141146
2,2,1,13,16,1,256,0,6,172732
2,1,4,13,32,1,0,1000,0,179969
4,0,6,8,16,2,128,0,8,169329
0,2,1,8,8,2,128,2000,2,109966
2,0,0,13,32,1,512,500,4,212415
6,2,0,11,8,0,1024,0,4,135825
1,2,7,12,16,1,0,0,0,119601
4,2,4,12,4,0,512,2000,4,133014
4,2,4,10,8,2,128,1000,8,155994
0,0,1,13,8,1,512,0,4,135030
4,0,5,13,4,1,512,0,0,93596
4,2,6,10,16,0,0,2000,6,167890
2,2,2,12,8,0,0,1000,8,160743
0,0,2,9,16,1,0,0,6,158943
2,1,5,11,16,1,1024,0,2,146365
1,1,7,11,16,0,512,2000,0,129692
1,0,2,9,4,2,512,1000,2,103145
2,2,1,9,16,0,1024,1000,2,142288
1,2,2,12,16,1,128,2000,2,146770
0,1,0,10,32,2,256,0,2,177645
3,1,0,9,32,2,128,0,0,159523
2,0,3,10,32,2,1024,1000,6,226620
0,1,6,8,8,2,512,1000,4,120949
6,0,7,11,8,1,512,500,2,117163
4,1,4,12,32,2,0,500,4,200611
1,1,6,11,4,0,0,500,4,113218
6,1,7,12,4,0,512,1000,2,110668
4,2,2,8,32,0,512,1000,8,225453
3,2,3,11,8,1,0,1000,4,126959
0,2,6,8,8,2,0,0,8,141228
0,1,2,12,4,0,128,2000,6,142682
0,0,7,9,16,0,512,1000,4,151968
6,0,6,11,4,0,512,0,0,86696
3,0,4,8,16,2,1024,1000,6,173513
6,0,6,13,8,0,128,2000,6,161800
1,2,5,11,8,2,256,1000,8,162326
6,2,1,11,32,2,256,0,2,180243
3,1,1,11,8,2,256,1000,0,98229
3,1,6,10,16,1,0,1000,0,116607
1,0,4,8,4,1,256,1000,8,143718
3,2,3,8,32,2,1024,500,8,234907
3,0,3,11,16,2,0,1000,6,166122
0,1,1,9,4,1,0,0,8,133836
1,1,2,11,4,1,256,0,2,98876
5,0,7,10,4,2,0,0,6,123803
5,1,2,12,8,1,128,1000,6,147629
3,0,3,10,4,0,128,2000,6,133686
5,2,5,9,8,2,256,0,0,87342
5,0,5,11,4,2,1024,500,0,96458
3,2,6,8,4,1,0,2000,6,127964
5,2,4,13,8,0,512,0,2,121324
6,1,1,11,8,1,256,1000,4,129931
4,1,0,9,16,0,0,500,6,153599
1,1,0,8,4,0,256,0,8,133864
4,0,0,10,8,2,256,500,4,125025
3,0,6,12,16,0,1024,2000,0,145886
0,1,5,12,16,2,512,0,0,128430
1,0,3,11,8,0,0,1000,4,128948
3,1,6,10,4,2,256,500,8,147009
0,0,0,13,16,0,256,0,0,125233
4,2,5,13,4,1,0,2000,0,94593
3,2,1,9,4,0,256,2000,6,135721
1,1,2,12,16,1,256,0,2,138725
1,0,0,10,8,0,256,2000,8,167892
2,0,4,11,4,0,128,500,6,128924
6,2,0,8,32,2,128,500,2,172560
5,2,2,11,8,0,512,500,0,102930
0,1,0,11,16,0,1024,500,2,149637
2,2,4,10,32,0,0,2000,0,167837
5,1,3,12,4,1,1024,0,6,148898
5,2,6,10,8,2,1024,2000,0,108701
3,2,4,8,32,2,128,2000,2,181417
5,0,2,10,8,0,512,0,6,141197
6,2,6,9,4,0,1024,0,2,102493
1,2,6,11,8,1,1024,1000,2,127285
2,1,2,12,32,0,256,500,4,206591
5,2,1,13,8,2,0,0,0,99724
3,1,5,8,16,2,512,2000,0,116891
6,2,0,13,16,1,0,500,2,143089
4,2,4,11,32,1,128,500,0,166004
1,1,2,10,8,2,1024,2000,8,174796
1,0,3,13,32,1,512,0,0,182716
2,1,7,9,8,0,0,500,6,133000
1,1,2,10,4,0,128,500,0,79926
5,1,0,11,16,1,256,500,8,185440
3,0,0,13,8,2,256,500,2,108694
1,2,6,8,8,1,1024,500,0,95610
1,1,6,13,4,2,1024,2000,6,162060
4,1,2,13,32,1,512,0,8,242389
4,0,7,12,32,1,0,0,4,198681
0,1,1,13,8,1,1024,500,2,132396
6,2,2,11,16,0,128,500,2,134888
5,0,7,8,32,0,0,500,2,169650
1,2,1,11,16,2,512,2000,8,196435
1,2,7,9,8,1,256,2000,0,97390
3,0,0,10,16,0,512,1000,0,127417
0,1,0,13,8,1,0,0,0,101159
6,2,0,12,4,2,256,1000,0,90727
0,2,3,8,8,0,128,1000,2,102915
2,2,0,12,4,2,256,1000,4,122582
6,2,4,12,8,0,256,0,2,114402
1,0,6,12,32,1,128,1000,4,204528
1,0,6,13,32,2,1024,500,4,222554
6,2,7,8,16,0,1024,2000,0,129742
1,1,6,8,8,0,256,500,6,133971
5,2,5,12,8,1,256,2000,8,170275
6,1,1,10,8,2,512,0,6,145006
0,2,7,13,16,2,1024,0,4,167601
6,1,6,13,32,2,128,500,6,223627
1,2,5,11,8,1,256,0,4,130672
5,1,1,13,16,0,256,2000,2,153201
5,2,3,12,8,0,512,0,2,118579
2,2,6,9,4,2,512,1000,0,83304
0,1,5,12,8,0,512,1000,8,172988
4,0,2,8,4,2,0,0,2,82587
4,1,4,13,16,1,128,500,8,193175
6,0,2,13,16,1,0,1000,0,126654
2,2,5,11,32,1,256,2000,8,244613
0,1,7,9,8,2,512,500,2,108905
6,1,0,13,16,0,512,0,2,146959
2,1,0,11,32,1,512,500,6,221845
0,0,0,11,8,2,1024,500,6,153848
0,0,1,9,16,2,128,500,6,157300
0,2,7,12,4,1,512,500,8,150151
0,0,1,12,16,1,128,0,2,137299
0,0,6,12,4,1,512,0,0,93388
2,2,0,10,32,0,512,1000,4,202699
2,1,2,12,32,0,1024,1000,2,203566
5,1,7,9,8,2,128,2000,6,141569
4,2,7,10,8,1,256,2000,6,148248
1,1,0,12,8,1,512,1000,8,173054
0,0,2,10,32,0,512,1000,6,218100
3,2,3,9,4,1,512,500,8,142304
1,2,7,12,8,2,512,1000,0,108271
2,2,0,8,8,1,1024,2000,6,152853
3,1,4,13,32,0,1024,1000,8,253538
3,2,5,9,4,2,128,500,6,120948
3,2,1,11,16,2,512,2000,8,194180
5,2,6,11,8,1,1024,0,2,122631
2,1,7,9,16,2,256,1000,8,180286
3,0,4,11,16,1,1024,0,4,162779
0,2,4,9,8,1,1024,2000,0,109959
6,0,7,8,32,0,128,1000,2,172997
3,1,3,9,8,2,1024,0,0,99095
5,1,5,12,4,1,256,1000,2,106880
1,1,6,12,4,1,512,0,6,137985
2,1,7,10,8,1,0,0,8,151204
5,0,1,11,16,2,128,2000,6,174209
3,2,6,13,4,2,256,1000,0,94988
2,1,2,11,4,2,128,0,0,81847
6,1,4,9,8,1,512,1000,2,113351
3,0,4,13,8,2,1024,1000,0,116851
5,0,7,13,32,1,1024,500,8,253118
4,1,7,11,8,2,256,2000,0,102363
0,2,1,13,8,2,512,1000,6,162441
1,2,2,13,4,1,0,1000,8,158599
5,1,3,12,4,2,0,1000,0,85710
2,0,7,8,4,1,1024,2000,4,122320
3,1,4,9,16,2,512,2000,4,157502
0,1,6,11,4,2,512,0,6,140389
3,0,5,12,4,2,256,2000,2,110961
2,1,0,10,8,2,0,500,2,105262
3,1,6,13,32,0,256,2000,0,182844
4,1,3,13,4,1,128,500,8,153243
0,0,5,11,32,0,512,500,2,186297
0,2,6,8,4,2,0,500,4,102291
2,2,6,8,4,2,256,0,2,86500
1,0,2,11,32,1,1024,2000,4,217697
4,2,0,11,8,1,128,1000,2,114144
5,1,1,12,4,1,256,500,6,139272
3,2,3,11,32,1,1024,1000,8,245926
6,1,4,10,4,2,0,500,0,79296
3,2,2,12,16,1,0,1000,4,155477
3,0,5,13,16,0,128,0,2,139586
5,2,0,13,16,1,1024,500,0,142593
3,2,4,13,16,1,512,0,4,163370
4,2,2,13,8,0,0,0,4,132206
0,0,0,9,16,0,512,2000,6,174408
0,2,1,10,32,0,512,1000,2,189052
2,0,3,12,4,0,256,500,0,89783
1,1,7,12,32,1,256,0,2,186169
6,2,1,13,16,0,0,1000,2,142085
3,0,7,8,8,2,512,2000,8,157695
3,0,5,12,16,1,256,1000,4,160548
5,2,7,10,16,2,1024,1000,4,160545
2,1,2,11,8,1,1024,2000,8,179517
4,0,5,10,8,1,1024,2000,8,174396
6,2,4,13,8,2,1024,2000,2,140706
0,1,1,13,8,0,512,0,4,139096
4,0,1,9,8,0,1024,1000,0,100507
2,0,3,12,8,2,512,2000,6,158549
1,1,5,12,4,0,0,1000,8,151066
0,1,4,12,16,1,0,1000,0,120615
1,2,1,13,16,1,1024,0,0,139480
5,2,5,12,8,1,1024,1000,2,130386
5,0,6,8,32,0,1024,0,8,227293
3,1,6,8,8,0,0,2000,0,90070
1,1,5,11,4,2,256,2000,6,138601
2,1,1,12,32,1,0,1000,0,169788
6,0,0,9,4,2,1024,0,6,134106
0,1,7,11,32,0,256,0,6,214470
4,1,6,13,32,2,256,500,6,221610
2,0,0,12,8,0,128,500,8,160993
2,2,0,8,4,1,512,2000,6,133904
5,2,3,9,32,1,1024,2000,8,244748
1,0,4,11,4,0,512,500,0,87185
3,1,2,9,8,0,128,0,6,129646
3,0,6,12,8,0,512,1000,4,140113
0,2,5,10,8,1,1024,1000,0,103881
5,2,7,9,8,0,128,0,4,119579
2,0,2,9,16,1,512,2000,4,159596
0,0,4,13,32,2,0,1000,2,191993
5,2,0,8,16,1,256,0,8,173802
0,0,4,12,8,2,128,1000,2,120457
0,2,1,9,32,1,0,0,8,216809
5,0,6,12,32,1,1024,500,2,201653
0,0,4,8,4,0,256,0,0,74562
5,0,4,13,8,1,128,1000,4,137355
4,2,7,12,16,0,256,1000,0,128573
5,0,1,8,4,0,128,1000,8,140184
1,2,1,8,32,0,128,1000,4,191453
5,2,0,11,16,1,512,500,4,158267
0,0,7,13,8,0,256,500,8,166037
1,0,5,13,16,2,256,0,0,127352
0,2,5,12,16,2,0,1000,4,153791
3,2,4,10,16,1,512,500,0,129512
3,1,4,11,4,0,0,2000,0,89272
1,2,1,13,32,2,512,0,0,180836
4,1,4,8,16,1,128,0,4,138647
3,1,3,13,32,1,512,0,6,228131
5,1,7,10,8,1,512,2000,2,108732
0,0,2,9,8,1,0,2000,8,159084
3,0,1,9,8,1,128,2000,0,95474
3,2,6,13,16,0,1024,500,4,173463
4,1,1,13,4,0,512,2000,8,167361
1,0,0,11,8,0,1024,0,6,154667
1,0,2,13,4,0,128,1000,6,144642
2,0,0,10,4,1,128,0,4,110246
4,0,5,13,16,1,0,0,0,124036
5,0,5,12,16,2,256,500,6,173347
1,1,0,10,4,2,0,0,6,122157
0,1,4,11,4,0,1024,500,6,145495
4,1,2,12,16,1,0,500,4,154382
3,1,4,12,4,2,128,1000,8,153645
0,2,1,9,16,2,512,0,2,131361
0,1,3,10,32,2,256,1000,4,201804
3,0,5,12,4,2,128,1000,0,91379
4,1,5,11,16,0,512,0,4,157139
3,2,2,9,4,1,1024,0,4,118831
2,0,5,12,16,0,1024,2000,2,156781
0,1,3,10,4,2,1024,2000,2,114318
6,1,3,9,8,2,0,500,2,101210
6,1,3,10,8,1,1024,0,8,165716
5,0,6,10,4,1,1024,500,4,126922
1,0,5,10,8,0,0,1000,0,93683
3,2,3,9,4,1,512,1000,2,97156
3,0,6,12,4,0,128,2000,2,112966
5,0,4,13,32,0,256,500,4,205934
5,1,1,8,32,2,1024,0,0,166532
5,0,7,12,8,0,512,0,2,126577
0,1,5,9,32,2,1024,2000,4,213708
2,1,3,8,8,0,0,2000,6,207829
3,0,5,8,4,0,0,500,8,130727
0,2,2,8,16,1,0,2000,4,147397
5,2,5,13,4,1,256,2000,2,114844
3,0,0,11,32,2,128,2000,0,172071
0,2,4,9,4,1,1024,1000,6,139628
2,1,1,13,8,0,512,500,0,105336
0,1,6,13,16,2,1024,0,0,138689
2,0,5,11,32,2,1024,0,0,179437
5,2,5,8,32,2,1024,500,4,202197
2,2,5,11,4,0,1024,2000,4,139635
3,1,7,11,4,1,128,2000,8,157245
5,0,7,13,4,2,512,0,6,143651
3,2,2,9,4,0,0,1000,0,76004
6,0,6,10,32,1,512,500,2,185060
4,2,5,11,4,1,1024,2000,0,105565
2,1,5,11,32,2,512,1000,6,224586
4,1,5,8,4,0,1024,1000,0,90020
4,0,5,8,16,1,512,2000,4,154198
2,1,7,13,16,0,256,500,4,161322
5,2,4,8,4,1,512,500,6,123174
6,1,4,12,4,2,0,0,8,148393
3,0,2,11,8,2,0,0,0,93187
0,0,0,8,16,1,512,500,6,161916
3,0,3,9,32,0,512,2000,2,190302
0,2,6,12,16,1,128,500,2,138047
3,2,4,13,32,0,512,0,8,241633
2,2,0,10,4,1,0,0,4,107612
0,2,5,11,16,2,256,0,6,164831
0,2,1,11,16,0,0,500,0,119221
1,1,5,9,8,2,128,500,6,136780
5,2,1,10,8,0,512,2000,8,172172
3,2,4,10,16,1,256,0,6,162765
0,1,2,13,16,2,0,1000,8,190606
0,2,3,13,16,2,256,1000,8,192012
5,0,4,12,32,0,1024,2000,8,256552
5,2,2,11,4,0,0,2000,6,135126
2,2,1,8,8,0,1024,0,2,109587
1,0,7,13,4,2,256,500,0,95544
2,0,3,9,8,1,512,500,8,159823
2,0,2,9,8,0,512,1000,4,126666
2,0,0,9,8,1,512,0,8,158408
2,2,4,13,16,0,1024,1000,6,189594
2,0,7,13,8,1,512,1000,8,173812
6,0,0,9,4,0,128,0,4,105160
5,1,2,13,8,1,0,2000,2,126428
2,0,2,8,4,2,0,1000,6,123766
5,0,1,8,8,0,512,2000,6,139360
5,1,0,12,8,0,1024,500,6,164575
4,1,4,11,16,2,0,1000,4,151425
6,2,3,8,4,0,1024,0,6,132349
2,1,7,12,8,0,256,2000,2,123961
3,2,1,10,8,2,512,500,0,99347
0,1,5,11,4,2,256,500,0,86540
1,1,6,8,8,1,128,1000,8,146262
3,2,3,10,8,2,512,500,0,166550
6,1,1,12,8,2,512,0,4,161128
0,2,7,8,4,0,512,1000,0,81611
6,1,0,8,16,2,512,500,4,138561
5,0,2,13,32,0,128,0,4,202559
0,1,0,10,32,2,1024,2000,8,246895
5,2,1,8,32,2,256,2000,0,166746
3,1,7,9,4,1,0,1000,8,143576
3,2,0,13,32,2,0,0,6,217358
0,2,0,13,4,2,256,500,2,108761
0,0,6,8,4,0,1024,1000,0,87917
2,0,4,13,8,0,0,1000,6,152030
6,2,1,11,4,1,1024,500,6,143596
2,1,6,10,32,2,512,0,8,232092
6,2,1,11,4,0,256,500,8,148823
2,2,5,12,4,2,512,2000,2,114819
5,1,5,11,16,1,0,1000,2,136174
0,1,6,9,32,0,1024,2000,2,196097
0,1,3,13,4,0,512,1000,2,114244
6,1,3,13,8,1,0,500,8,166458
6,2,0,9,4,2,128,0,4,102946
3,2,0,13,4,0,512,500,8,162033
2,0,2,11,16,0,128,2000,4,159463
6,2,5,12,32,1,128,0,8,236761
1,1,1,8,32,1,0,0,8,214103
5,0,5,9,8,1,256,1000,2,110523
0,1,5,11,8,2,1024,0,4,136208
3,2,6,11,8,2,0,1000,6,145868
0,0,3,11,4,2,512,0,6,132075
1,1,0,8,8,1,1024,0,6,130299
6,0,3,10,8,0,256,1000,2,110228
6,0,6,13,32,2,0,0,6,222331
1,2,2,13,32,1,256,500,8,242675
3,1,2,12,8,2,512,0,2,122087
5,0,7,10,16,0,0,2000,6,169281
4,0,0,13,32,0,512,1000,2,200214
3,1,0,12,32,1,1024,1000,8,252855
4,0,1,12,8,0,1024,500,2,125904
1,0,0,11,32,1,256,2000,6,222819
2,0,5,9,4,1,256,0,2,90291
4,1,2,11,4,1,1024,500,0,99216
5,1,6,8,32,1,128,0,6,199784
2,1,2,13,4,0,1024,500,8,166667
4,1,3,12,16,0,0,1000,4,155274
1,2,5,9,32,0,512,2000,2,189028
2,0,0,13,8,0,1024,1000,2,135520
1,1,1,12,4,1,1024,500,6,150961
4,0,1,12,16,1,512,0,6,173003
1,0,1,11,16,0,512,2000,0,134113
5,2,4,9,4,2,0,0,8,134725
4,1,7,9,16,2,512,1000,2,135814
4,1,5,13,32,2,256,0,2,191347
4,0,3,12,16,0,1024,500,4,166663
3,1,0,9,4,1,512,2000,2,105749
3,0,3,9,16,1,0,0,2,132384
3,0,3,13,4,2,512,2000,0,102724
5,2,0,11,4,2,1024,500,4,127571
2,2,3,10,8,1,128,0,2,128410
1,2,1,8,4,2,512,2000,2,101170
6,0,6,10,4,2,256,1000,8,148319
4,1,7,9,8,1,1024,1000,2,122180
1,2,4,12,32,2,0,1000,0,175062
4,1,3,8,4,2,1024,1000,2,103295
5,2,3,8,32,0,128,1000,2,175623
4,2,2,12,8,2,0,500,6,141720
3,0,7,8,8,0,128,0,2,97585
6,2,5,12,8,1,128,500,4,129432
0,2,7,8,8,0,512,1000,6,134430
4,0,7,13,32,1,512,1000,4,213201
1,1,0,13,16,0,256,2000,4,167652
0,2,0,10,16,0,256,2000,0,124070
0,0,0,8,32,0,256,0,2,168982
6,2,4,11,4,2,512,0,4,110849
0,0,1,12,32,2,512,0,2,187724
3,1,7,8,4,2,512,500,2,92630
2,1,4,13,4,2,0,2000,0,97259
2,0,3,13,16,2,256,0,0,124843
0,0,0,12,8,0,256,2000,4,139521
5,0,3,11,16,2,128,2000,4,161216
1,1,0,8,16,1,128,2000,6,165399
1,2,6,8,32,0,1024,2000,2,189677
0,1,4,11,32,0,512,2000,2,194810
4,0,4,11,4,1,512,2000,0,97031
4,0,1,11,32,2,0,500,0,167496
1,1,5,13,4,1,256,1000,4,129514
1,0,2,12,4,0,1024,2000,6,155848
2,1,7,11,8,0,128,500,6,144614
5,0,5,12,8,0,1024,0,0,107152
3,2,5,10,16,1,0,500,0,114153
4,2,5,8,8,2,0,500,6,130540
1,0,6,8,4,0,1024,500,6,131892
2,1,2,9,32,2,1024,2000,4,209854
6,2,1,10,8,0,1024,0,6,147432
2,1,4,11,8,2,256,500,2,112356
4,0,4,11,8,1,512,0,6,144828
4,1,7,13,8,0,128,500,8,167998
2,2,1,10,4,0,512,2000,6,132155
3,1,1,11,4,0,128,500,0,84159
0,1,0,9,16,1,1024,500,0,124875
4,0,2,12,32,1,1024,0,8,244076
2,0,6,8,16,2,1024,0,2,137257
1,0,3,10,16,1,256,0,6,165805
2,2,5,8,8,0,512,1000,6,135974
5,2,1,12,32,2,256,0,8,233399
0,0,7,10,8,1,256,500,4,125908
6,0,4,12,4,2,0,1000,4,120986
3,2,3,11,16,2,256,0,2,136632
6,2,6,11,32,2,256,2000,6,226350
0,2,2,11,4,0,256,0,6,130319
0,2,1,12,16,0,128,2000,6,180776
0,0,5,12,32,1,128,1000,0,175631
6,2,1,12,16,0,128,2000,4,160963
0,0,7,8,32,2,512,1000,8,229416
0,1,1,12,16,2,0,2000,0,129527
2,1,1,11,8,0,1024,0,0,105942
6,2,1,9,16,2,256,1000,4,144714
0,1,4,12,16,0,128,500,6,169822
2,1,4,9,32,2,0,500,2,173223
1,1,3,11,32,1,256,500,8,236208
5,2,3,12,8,1,512,0,4,131715
1,2,5,8,32,0,1024,500,2,184215
0,1,2,8,16,0,256,1000,4,146782
6,0,6,9,32,0,1024,500,4,204068
4,1,0,13,32,0,256,1000,4,210313
0,2,2,8,32,0,512,500,4,193849
0,2,2,8,8,2,0,2000,6,137100
2,2,2,8,8,1,1024,1000,0,102004
5,1,0,11,4,2,1024,500,4,132858
3,0,5,8,8,1,0,500,2,97536
1,2,0,10,8,2,1024,500,2,120020
5,2,5,12,8,2,128,1000,2,116759
0,1,0,8,16,2,0,1000,0,109643
4,0,6,13,4,0,512,500,0,94681
1,1,1,13,16,1,256,2000,2,154246
4,2,2,8,8,0,256,1000,6,134654
6,0,1,8,8,0,0,1000,0,84488
4,0,5,10,4,2,128,2000,0,87010
6,2,0,8,4,1,512,0,6,123047
2,0,6,8,32,1,256,2000,4,196521
1,0,0,12,8,1,256,500,0,103665
1,1,1,13,8,1,128,1000,2,118320
3,2,4,10,16,0,1024,1000,2,144683
0,2,6,13,32,0,0,1000,6,221004
6,2,2,10,8,1,128,1000,2,110853
3,2,7,13,16,0,128,0,8,188437
4,2,2,8,4,1,128,1000,2,88178
4,0,5,13,16,0,128,1000,6,179954
3,1,6,13,8,2,1024,0,6,162854
1,2,4,10,16,2,512,500,6,171050
4,1,1,9,16,1,128,500,8,176465
2,1,4,10,32,1,128,0,0,160006
2,0,5,10,32,0,0,500,4,190699
0,2,4,10,4,1,256,500,2,98045
6,0,3,11,32,1,1024,2000,0,190301
6,2,6,11,16,0,128,2000,6,174851
3,0,1,11,32,1,512,2000,0,182748
6,1,1,10,8,1,512,0,0,96438
1,2,5,9,8,2,512,1000,8,182825
1,1,1,10,16,2,0,0,6,157843
6,1,4,8,16,2,512,0,6,157876
2,0,6,9,8,1,0,0,2,98624
6,2,2,11,16,0,512,0,2,146715
1,1,4,13,32,2,512,2000,2,205813
5,0,0,13,8,1,256,0,2,116965
0,2,7,12,16,2,128,2000,0,133498
4,2,6,9,32,0,1024,1000,0,174470
5,1,1,11,32,0,256,500,2,186991
6,2,5,9,4,0,1024,2000,2,111051
2,1,2,9,32,0,512,0,2,179277
3,2,3,13,32,0,1024,1000,4,221173
6,0,2,10,4,0,1024,0,2,106815
2,1,4,8,4,1,1024,1000,4,116987
0,1,7,12,8,2,0,500,2,116744
6,2,2,11,32,0,256,1000,6,222628
1,2,3,9,8,2,512,1000,8,160200
3,1,0,12,8,2,128,500,0,100012
2,2,5,9,16,1,512,500,6,165760
2,0,6,13,8,0,512,1000,8,175751
2,2,7,8,8,0,0,0,4,109142
0,0,3,13,8,1,0,2000,0,110775
6,0,1,12,8,1,1024,0,4,143292
0,0,4,11,4,1,512,2000,4,125975
4,0,4,9,32,1,256,500,0,163357
4,0,4,8,16,1,0,0,8,170251
6,2,1,13,4,2,0,500,0,93471
1,0,1,12,16,1,256,1000,2,144994
0,2,7,13,16,0,0,1000,4,162980
3,0,2,9,4,0,256,0,2,90372
2,1,7,9,8,1,128,500,0,87451
2,0,4,11,4,1,256,0,0,79727
6,1,0,8,16,1,128,0,8,171192
1,0,3,10,16,1,1024,2000,4,169285
4,0,6,13,8,1,1024,1000,6,165792
4,0,6,9,4,0,0,0,0,72597
2,1,7,12,32,2,256,0,6,227755
6,1,4,13,16,1,0,2000,4,164595
0,0,1,11,4,1,256,500,2,102769
4,2,5,11,8,1,0,0,4,124420
0,0,0,9,8,0,1024,1000,8,167595
1,1,7,9,32,0,1024,0,6,220964
